item,itemLabel,itemDescription,sVolume,Volume,short_name,dblpProceedingsId,title,language_of_work_or_name,language_of_work_or_nameLabel,URN_NBN,publication_date,described_at_URL,event,eventLabel,eventSeries,eventSeriesLabel,eventSeriesOrdinal,dblpEventId,fullWorkUrl,ppnId,homePage
http://www.wikidata.org/entity/Q113542460,"Proceedings of the Workshop on Hybrid Learning Spaces - Data, Design, Didactics",Proceedings of HLS-D3 2019 workshop,2712,,HLS-D3 2019,conf/ectel/2019hlsd3,"Proceedings of the Workshop on Hybrid Learning Spaces - Data, Design, Didactics",,,urn:nbn:de:0074-2712-6,2020/10/26 0:00,http://ceur-ws.org/Vol-2712/,http://www.wikidata.org/entity/Q113582015,"Workshop on Hybrid Learning Spaces - Data, Design, Didactics",,,,conf/ectel/hlsd32019,http://ceur-ws.org/Vol-2712/,1744676038,
http://www.wikidata.org/entity/Q113542459,"Proceedings of the Selected Papers of the Special Edition of International Conference on Monitoring, Modeling & Management of Emergent Economy (M3E2-MLPEED 2020)",Proceedings of M3E2-MLPEED 2020 workshop,2713,,M3E2-MLPEED 2020,conf/m3e2/2020,"Proceedings of the Selected Papers of the Special Edition of International Conference on Monitoring, Modeling & Management of Emergent Economy (M3E2-MLPEED 2020)",,,urn:nbn:de:0074-2713-0,2020/10/26 0:00,http://ceur-ws.org/Vol-2713/,http://www.wikidata.org/entity/Q113582018,"Special Edition of International Conference on Monitoring, Modeling & Management of Emergent Economy (M3E2-MLPEED 2020)",,,,conf/m3e2/m3e22020,http://ceur-ws.org/Vol-2713/,1744731144,
http://www.wikidata.org/entity/Q113542458,"Joint Proceedings of WAAI 2020, AIESD 2020, WDEA 2020, WSSC 2020",Proceedings of ICAIW 2020 workshop,2714,,ICAIW 2020,conf/icai2/2020w,"Joint Proceedings of WAAI 2020, AIESD 2020, WDEA 2020, WSSC 2020",,,urn:nbn:de:0074-2714-3,2020/10/27 0:00,http://ceur-ws.org/Vol-2714/,http://www.wikidata.org/entity/Q113582022,"WAAI 2020, AIESD 2020, WDEA 2020, WSSC 2020",,,,conf/icai2/icai2020w,http://ceur-ws.org/Vol-2714/,1744737789,
http://www.wikidata.org/entity/Q113542457,Proceedings of the 3rd Workshop on Online Recommender Systems and User Modeling,Proceedings of ORSUM 2020 workshop,2715,,ORSUM 2020,conf/recsys/2020orsum,Proceedings of the 3rd Workshop on Online Recommender Systems and User Modeling,,,urn:nbn:de:0074-2715-7,2020/10/28 0:00,http://ceur-ws.org/Vol-2715/,http://www.wikidata.org/entity/Q113582024,3rd Workshop on Online Recommender Systems and User Modeling,,,,conf/recsys/orsum2020,http://ceur-ws.org/Vol-2715/,174474159X,
http://www.wikidata.org/entity/Q113542456,"ER Forum, Demo and Posters 2020",Proceedings of ER Forum 2020 workshop,2716,,ER Forum 2020,conf/er/2020f,"ER Forum, Demo and Posters 2020",,,urn:nbn:de:0074-2716-1,2020/10/27 0:00,http://ceur-ws.org/Vol-2716/,http://www.wikidata.org/entity/Q113582026,"ER Forum, Demo and Posters 2020",,,,conf/er/erf2020,http://ceur-ws.org/Vol-2716/,1744745935,
http://www.wikidata.org/entity/Q113542455,Proceedings of the Twin Talks 2 and 3 Workshops,Proceedings of TwinTalks 2020 workshop,2717,,TwinTalks 2020,conf/dhn/2020tt,Proceedings of the Twin Talks 2 and 3 Workshops,,,urn:nbn:de:0074-2717-4,2020/10/30 0:00,http://ceur-ws.org/Vol-2717/,http://www.wikidata.org/entity/Q113582029,Twin Talks 2 and 3 Workshops,,,,conf/dhn/twintalks2020,http://ceur-ws.org/Vol-2717/,1744750653,
http://www.wikidata.org/entity/Q113542454,Proceedings of the 20th Conference Information Technologies - Applications and Theory (ITAT 2020),Proceedings of ITAT 2020 workshop,2718,,ITAT 2020,conf/itat/2020,Proceedings of the 20th Conference Information Technologies - Applications and Theory (ITAT 2020),,,urn:nbn:de:0074-2718-8,2020/10/30 0:00,http://ceur-ws.org/Vol-2718/,http://www.wikidata.org/entity/Q113582031,20th Conference Information Technologies - Applications and Theory (ITAT 2020),,,,conf/itat/itat2020,http://ceur-ws.org/Vol-2718/,1744902844,
http://www.wikidata.org/entity/Q113542453,Proceedings of the VI Congreso de la Sociedad Española para las Ciencias del Videojuego,Proceedings of CoSECiVi 2020 workshop,2719,,CoSECiVi 2020,conf/cosecivi/2020,Proceedings of the VI Congreso de la Sociedad Española para las Ciencias del Videojuego,,,urn:nbn:de:0074-2719-5,2020/10/31 0:00,http://ceur-ws.org/Vol-2719/,http://www.wikidata.org/entity/Q113582033,VI Congreso de la Sociedad Española para las Ciencias del Videojuego,,,,conf/cosecivi/cosecivi2020,http://ceur-ws.org/Vol-2719/,1744980241,
http://www.wikidata.org/entity/Q113542563,Proceedings of the Semantic Web Challenge on Mining the Web of HTML-embedded Product Data,Proceedings of MWPD 2020 workshop,2720,,MWPD 2020,conf/semweb/2020mwpd,Proceedings of the Semantic Web Challenge on Mining the Web of HTML-embedded Product Data,,,urn:nbn:de:0074-2720-3,2020/10/31 0:00,http://ceur-ws.org/Vol-2720/,http://www.wikidata.org/entity/Q113582035,Semantic Web Challenge on Mining the Web of HTML-embedded Product Data,,,,conf/semweb/mwpd2020,http://ceur-ws.org/Vol-2720/,1744986053,
http://www.wikidata.org/entity/Q101089329,Proceedings of the ISWC 2020 Demos and Industry Tracks: From Novel Ideas to Industrial Practice,"ISWC 2020 Posters, Demos, and Industry Tracks proceedings",2721,,ISWC-Posters 2020,conf/semweb/2020demo,Proceedings of the ISWC 2020 Demos and Industry Tracks: From Novel Ideas to Industrial Practice,http://www.wikidata.org/entity/Q1860,English,urn:nbn:de:0074-2721-6,2020/10/31 0:00,http://ceur-ws.org/Vol-2721/,http://www.wikidata.org/entity/Q77250365,The 19th International Semantic web Conference,http://www.wikidata.org/entity/Q6053150,International Semantic Web Conference,19,,http://ceur-ws.org/Vol-2721/,1744991758,
